class,precision,recall,f1,auc
0,0.9467718087727944,0.9643574297188755,0.9554837105197712,0.9985103635290319
1,0.9516400336417157,0.9699957136733819,0.9607302059010826,0.9971581702742389
2,0.9086468001954079,0.8882521489971347,0.8983337358126057,0.9865582789270315
3,0.9031206334420121,0.8997679814385151,0.9014411901441189,0.9905028997703207
4,0.9407630522088354,0.9114785992217899,0.9258893280632411,0.9955435670729704
5,0.9044551798174987,0.873509590461379,0.8887130801687764,0.9893660178320844
6,0.9297020484171322,0.9527671755725191,0.9410933081998115,0.9964534041828056
7,0.9213836477987422,0.9234579018460153,0.9224196087249832,0.9922082991004231
8,0.8983475212819229,0.867504835589942,0.8826568265682657,0.9905942897128314
9,0.8619420156465716,0.9109922178988327,0.8857886025065027,0.9897157205920051
